time,analysed_sst,EBUS,Subregion,time_str,analysed_sst_mean,analysed_sst_detrended
2002-06-01,23.334143,Iberian-Canary,Equatorward,06,24.161823,-0.8276806
2002-09-01,25.643255,Iberian-Canary,Equatorward,09,26.152746,-0.50949097
2002-12-01,20.45236,Iberian-Canary,Equatorward,12,20.998272,-0.5459118
2003-03-01,19.530416,Iberian-Canary,Equatorward,03,19.975168,-0.44475174
2003-06-01,24.057726,Iberian-Canary,Equatorward,06,24.161823,-0.10409737
2003-09-01,26.1476,Iberian-Canary,Equatorward,09,26.152746,-0.0051460266
2003-12-01,21.33888,Iberian-Canary,Equatorward,12,20.998272,0.3406086
2004-03-01,19.70701,Iberian-Canary,Equatorward,03,19.975168,-0.26815796
2004-06-01,24.095003,Iberian-Canary,Equatorward,06,24.161823,-0.066820145
2004-09-01,26.140171,Iberian-Canary,Equatorward,09,26.152746,-0.01257515
2004-12-01,20.870907,Iberian-Canary,Equatorward,12,20.998272,-0.12736511
2005-03-01,20.649763,Iberian-Canary,Equatorward,03,19.975168,0.6745949
2005-06-01,25.39122,Iberian-Canary,Equatorward,06,24.161823,1.2293968
2005-09-01,26.660263,Iberian-Canary,Equatorward,09,26.152746,0.50751686
2005-12-01,21.484627,Iberian-Canary,Equatorward,12,20.998272,0.48635483
2006-03-01,19.976511,Iberian-Canary,Equatorward,03,19.975168,0.0013427734
2006-06-01,24.40223,Iberian-Canary,Equatorward,06,24.161823,0.24040604
2006-09-01,26.851658,Iberian-Canary,Equatorward,09,26.152746,0.69891167
2006-12-01,21.075382,Iberian-Canary,Equatorward,12,20.998272,0.07711029
2007-03-01,19.902431,Iberian-Canary,Equatorward,03,19.975168,-0.07273674
2007-06-01,22.938416,Iberian-Canary,Equatorward,06,24.161823,-1.2234077
2007-09-01,25.337976,Iberian-Canary,Equatorward,09,26.152746,-0.81476974
2007-12-01,20.98123,Iberian-Canary,Equatorward,12,20.998272,-0.01704216
2008-03-01,20.660387,Iberian-Canary,Equatorward,03,19.975168,0.6852188
2008-06-01,24.583693,Iberian-Canary,Equatorward,06,24.161823,0.42186928
2008-09-01,25.608103,Iberian-Canary,Equatorward,09,26.152746,-0.5446434
2008-12-01,19.810947,Iberian-Canary,Equatorward,12,20.998272,-1.1873245
2009-03-01,19.321768,Iberian-Canary,Equatorward,03,19.975168,-0.6534004
2009-06-01,24.431679,Iberian-Canary,Equatorward,06,24.161823,0.2698555
2009-09-01,26.5954,Iberian-Canary,Equatorward,09,26.152746,0.44265366
2009-12-01,22.351374,Iberian-Canary,Equatorward,12,20.998272,1.3531017
2010-03-01,21.109709,Iberian-Canary,Equatorward,03,19.975168,1.1345406
2010-06-01,25.007368,Iberian-Canary,Equatorward,06,24.161823,0.8455448
2010-09-01,27.01766,Iberian-Canary,Equatorward,09,26.152746,0.86491394
2010-12-01,22.638712,Iberian-Canary,Equatorward,12,20.998272,1.64044
2011-03-01,20.195131,Iberian-Canary,Equatorward,03,19.975168,0.21996307
2011-06-01,24.248014,Iberian-Canary,Equatorward,06,24.161823,0.08619118
2011-09-01,25.865843,Iberian-Canary,Equatorward,09,26.152746,-0.28690338
2011-12-01,20.36021,Iberian-Canary,Equatorward,12,20.998272,-0.6380615
2012-03-01,19.525356,Iberian-Canary,Equatorward,03,19.975168,-0.44981194
2012-06-01,24.200369,Iberian-Canary,Equatorward,06,24.161823,0.03854561
2012-09-01,26.482986,Iberian-Canary,Equatorward,09,26.152746,0.33024025
2012-12-01,20.549988,Iberian-Canary,Equatorward,12,20.998272,-0.44828415
2013-03-01,20.534151,Iberian-Canary,Equatorward,03,19.975168,0.55898285
2013-06-01,24.348837,Iberian-Canary,Equatorward,06,24.161823,0.18701363
2013-09-01,26.267916,Iberian-Canary,Equatorward,09,26.152746,0.115169525
2013-12-01,20.204504,Iberian-Canary,Equatorward,12,20.998272,-0.7937679
2014-03-01,19.48296,Iberian-Canary,Equatorward,03,19.975168,-0.49220848
2014-06-01,23.796835,Iberian-Canary,Equatorward,06,24.161823,-0.36498833
2014-09-01,25.900438,Iberian-Canary,Equatorward,09,26.152746,-0.2523079
2014-12-01,20.071905,Iberian-Canary,Equatorward,12,20.998272,-0.9263668
2015-03-01,19.429798,Iberian-Canary,Equatorward,03,19.975168,-0.5453701
2015-06-01,24.537996,Iberian-Canary,Equatorward,06,24.161823,0.37617302
2015-09-01,26.535255,Iberian-Canary,Equatorward,09,26.152746,0.38250923
2015-12-01,21.961899,Iberian-Canary,Equatorward,12,20.998272,0.96362686
2016-03-01,19.5013,Iberian-Canary,Equatorward,03,19.975168,-0.47386742
2016-06-01,23.629345,Iberian-Canary,Equatorward,06,24.161823,-0.53247833
2016-09-01,26.067852,Iberian-Canary,Equatorward,09,26.152746,-0.08489418
2016-12-01,20.834654,Iberian-Canary,Equatorward,12,20.998272,-0.16361809
2017-03-01,20.235752,Iberian-Canary,Equatorward,03,19.975168,0.26058388
