,EBUS,Subregion,Year.trend.lm,Year.trend.gls,SE,df,lower.CL.lm,lower.CL.gls,upper.CL.lm,upper.CL.gls,t.ratio,p.value,mc.p.value
1,California,Equatorward,-1.0115,-0.89289511,0.296919005,210,-1.596823796,-1.96671,-0.426176204,0.18091978,-3.406652934,0.000788031,0.008
2,Humboldt,Equatorward,-0.335290727,-0.23767037,0.274893583,210,-0.877195262,-1.0123995,0.206613809,0.5370588,-1.219710999,0.223942523,0.165
3,Iberian/Canary,Equatorward,0.119461988,0.09410396,0.296919005,210,-0.465861808,-0.641682,0.704785785,0.82988988,0.402338639,0.68784405,0.301
4,Benguela,Equatorward,-0.625093358,-0.67161648,0.274893583,210,-1.166997894,-1.101483,-0.083188823,-0.24174992,-2.273946709,0.023980036,0.001
5,California,Central,-0.637013158,-0.36596606,0.296919005,210,-1.222336954,-1.439781,-0.051689361,0.70784883,-2.145410522,0.03306788,0.11
6,Humboldt,Central,-0.167911654,-0.09017009,0.274893583,210,-0.70981619,-0.8648993,0.373992881,0.68455908,-0.610824204,0.541976515,0.171
7,Iberian/Canary,Central,0.237894737,0.20911147,0.296919005,210,-0.34742906,-0.5266745,0.823218533,0.94489739,0.801210878,0.423915167,0.198
8,Benguela,Central,-0.120558271,-0.15695352,0.274893583,210,-0.662462806,-0.5868201,0.421346265,0.27291303,-0.438563423,0.661428745,0.169
9,California,Poleward,-0.445763158,-0.30846132,0.296919005,210,-1.031086954,-1.3822762,0.139560639,0.76535357,-1.501295472,0.134781232,0.136
10,Humboldt,Poleward,0.071211153,0.10435606,0.274893583,210,-0.470693383,-0.6703731,0.613115688,0.87908524,0.259049892,0.795850496,0.364
11,Iberian/Canary,Poleward,-0.119181287,-0.14621582,0.296919005,210,-0.704505083,-0.8820017,0.46614251,0.58957011,-0.401393257,0.688538767,0.232
12,Benguela,Poleward,-0.027066416,-0.0205771,0.274893583,210,-0.568970952,-0.4504437,0.51483812,0.40928946,-0.098461433,0.921659814,0.435
