month,analysed_sst,EBUS,Region
1,17.687302,Humboldt,Poleward
2,18.416868,Humboldt,Poleward
3,18.234594,Humboldt,Poleward
4,17.189493,Humboldt,Poleward
5,16.030518,Humboldt,Poleward
6,14.674536,Humboldt,Poleward
7,13.637641,Humboldt,Poleward
8,13.101445,Humboldt,Poleward
9,13.08525,Humboldt,Poleward
10,13.632671,Humboldt,Poleward
11,14.754388,Humboldt,Poleward
12,16.147608,Humboldt,Poleward
1,21.912094,Humboldt,Central
2,22.9295,Humboldt,Central
3,22.559114,Humboldt,Central
4,21.163975,Humboldt,Central
5,19.507345,Humboldt,Central
6,17.944529,Humboldt,Central
7,16.750856,Humboldt,Central
8,16.07836,Humboldt,Central
9,16.066305,Humboldt,Central
10,16.660753,Humboldt,Central
11,18.091345,Humboldt,Central
12,19.892157,Humboldt,Central
1,23.529936,Humboldt,Equatorward
2,24.879814,Humboldt,Equatorward
3,24.742819,Humboldt,Equatorward
4,23.348452,Humboldt,Equatorward
5,21.467072,Humboldt,Equatorward
6,19.710844,Humboldt,Equatorward
7,18.433367,Humboldt,Equatorward
8,17.47565,Humboldt,Equatorward
9,17.359922,Humboldt,Equatorward
10,17.880426,Humboldt,Equatorward
11,19.290844,Humboldt,Equatorward
12,21.290943,Humboldt,Equatorward
1,21.628782,Iberian-Canary,Equatorward
2,20.616186,Iberian-Canary,Equatorward
3,20.580198,Iberian-Canary,Equatorward
4,20.79529,Iberian-Canary,Equatorward
5,21.149855,Iberian-Canary,Equatorward
6,21.892765,Iberian-Canary,Equatorward
7,23.87518,Iberian-Canary,Equatorward
8,25.967688,Iberian-Canary,Equatorward
9,26.95969,Iberian-Canary,Equatorward
10,26.790346,Iberian-Canary,Equatorward
11,25.44563,Iberian-Canary,Equatorward
12,23.410227,Iberian-Canary,Equatorward
1,19.995285,Iberian-Canary,Central
2,19.316757,Iberian-Canary,Central
3,19.312572,Iberian-Canary,Central
4,19.92917,Iberian-Canary,Central
5,20.679506,Iberian-Canary,Central
6,21.445667,Iberian-Canary,Central
7,21.985394,Iberian-Canary,Central
8,23.006546,Iberian-Canary,Central
9,23.706083,Iberian-Canary,Central
10,23.851118,Iberian-Canary,Central
11,22.74473,Iberian-Canary,Central
12,21.22457,Iberian-Canary,Central
1,15.0447445,Iberian-Canary,Poleward
2,14.346299,Iberian-Canary,Poleward
3,14.211529,Iberian-Canary,Poleward
4,14.773385,Iberian-Canary,Poleward
5,16.10552,Iberian-Canary,Poleward
6,18.066145,Iberian-Canary,Poleward
7,19.738873,Iberian-Canary,Poleward
8,20.861181,Iberian-Canary,Poleward
9,20.722197,Iberian-Canary,Poleward
10,19.688036,Iberian-Canary,Poleward
11,17.73888,Iberian-Canary,Poleward
12,16.02909,Iberian-Canary,Poleward
1,15.509493,California,Equatorward
2,15.184796,California,Equatorward
3,15.201444,California,Equatorward
4,15.529072,California,Equatorward
5,15.980253,California,Equatorward
6,16.572422,California,Equatorward
7,17.900421,California,Equatorward
8,18.989063,California,Equatorward
9,19.495092,California,Equatorward
10,18.9636,California,Equatorward
11,17.857397,California,Equatorward
12,16.351683,California,Equatorward
1,12.928466,California,Central
2,12.51879,California,Central
3,12.427188,California,Central
4,12.91063,California,Central
5,13.851788,California,Central
6,14.872749,California,Central
7,16.114212,California,Central
8,17.199097,California,Central
9,17.533247,California,Central
10,16.749758,California,Central
11,15.362147,California,Central
12,13.762781,California,Central
1,10.695054,California,Poleward
2,10.255925,California,Poleward
3,10.05135,California,Poleward
4,10.653819,California,Poleward
5,12.223242,California,Poleward
6,14.253628,California,Poleward
7,16.381618,California,Poleward
8,17.793482,California,Poleward
9,17.851206,California,Poleward
10,16.176647,California,Poleward
11,13.979843,California,Poleward
12,11.908841,California,Poleward
1,20.658226,Benguela,Poleward
2,21.068518,Benguela,Poleward
3,20.753376,Benguela,Poleward
4,19.666399,Benguela,Poleward
5,18.732233,Benguela,Poleward
6,17.604313,Benguela,Poleward
7,16.722496,Benguela,Poleward
8,16.266104,Benguela,Poleward
9,16.329931,Benguela,Poleward
10,16.95422,Benguela,Poleward
11,18.079859,Benguela,Poleward
12,19.503836,Benguela,Poleward
1,20.506536,Benguela,Central
2,21.108612,Benguela,Central
3,20.920221,Benguela,Central
4,19.965034,Benguela,Central
5,18.85208,Benguela,Central
6,17.673382,Benguela,Central
7,16.762388,Benguela,Central
8,16.283323,Benguela,Central
9,16.175453,Benguela,Central
10,16.618492,Benguela,Central
11,17.721884,Benguela,Central
12,19.215603,Benguela,Central
1,22.133802,Benguela,Equatorward
2,23.095905,Benguela,Equatorward
3,23.054321,Benguela,Equatorward
4,22.231647,Benguela,Equatorward
5,20.743235,Benguela,Equatorward
6,19.004875,Benguela,Equatorward
7,17.894085,Benguela,Equatorward
8,17.154692,Benguela,Equatorward
9,16.977411,Benguela,Equatorward
10,17.69686,Benguela,Equatorward
11,19.27471,Benguela,Equatorward
12,20.678282,Benguela,Equatorward
