EBUS,Subregion,Season,Year.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value,mc.p.value
Benguela,Central,Fall,-0.053669173,0.411412267,876,-0.861138048,0.753799702,-0.130451076,0.896239509,0.343
California,Central,Fall,-0.528834586,0.411412267,876,-1.336303462,0.278634289,-1.285412781,0.198987795,0.001
Humboldt,Central,Fall,-0.098428571,0.411412267,876,-0.905897447,0.709040304,-0.239245592,0.810971114,0.353
Iberian/Canary,Central,Fall,0.153588972,0.411412267,876,-0.653879903,0.961057848,0.373321324,0.708999629,0.036
Benguela,Equatorward,Fall,-0.416062657,0.411412267,876,-1.223531532,0.391406219,-1.011303478,0.312150448,0.053
California,Equatorward,Fall,-1.279002506,0.411412267,876,-2.086471381,-0.471533631,-3.108809845,0.001939116,0.003
Humboldt,Equatorward,Fall,-0.189110276,0.411412267,876,-0.996579151,0.618358599,-0.459661247,0.645873443,0.203
Iberian/Canary,Equatorward,Fall,0.126533835,0.411412267,876,-0.680935041,0.93400271,0.307559703,0.758490493,0.175
Benguela,Poleward,Fall,0.135446115,0.411412267,876,-0.67202276,0.94291499,0.329222355,0.742066323,0.19
California,Poleward,Fall,-0.313909774,0.411412267,876,-1.12137865,0.493559101,-0.763005383,0.445665604,0.014
Humboldt,Poleward,Fall,-0.107874687,0.411412267,876,-0.915343562,0.699594188,-0.26220581,0.79322442,0.328
Iberian/Canary,Poleward,Fall,0.004313283,0.411412267,876,-0.803155592,0.811782158,0.01048409,0.991637447,0.492
Benguela,Central,Spring,0.06241604,0.411412267,876,-0.745052835,0.869884915,0.151711665,0.879449288,0.403
California,Central,Spring,0.109290727,0.411412267,876,-0.698178148,0.916759602,0.26564771,0.790573042,0.457
Humboldt,Central,Spring,-0.01035589,0.411412267,876,-0.817824765,0.797112985,-0.025171563,0.979923852,0.481
Iberian/Canary,Central,Spring,0.04541604,0.411412267,876,-0.762052835,0.852884915,0.110390583,0.912124906,0.473
Benguela,Equatorward,Spring,-0.729110276,0.411412267,876,-1.536579151,0.078358599,-1.772213262,0.076706693,0.015
California,Equatorward,Spring,-0.432120301,0.411412267,876,-1.239589176,0.375348574,-1.050334021,0.293854236,0.124
Humboldt,Equatorward,Spring,-0.280934837,0.411412267,876,-1.088403712,0.526534038,-0.68285479,0.494879146,0.346
Iberian/Canary,Equatorward,Spring,-0.020030075,0.411412267,876,-0.82749895,0.7874388,-0.04868614,0.961180519,0.476
