EBUS,Region,Year,Month,Points,Percent,Region_name,EBUS_name,Hemisphere,Random_name
Iberian-Canary,0,2002,6,103508,57.55,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2002,7,52660,29.28,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2002,8,37419,20.81,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2002,9,2057,1.14,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2002,10,12949,7.2,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2002,11,26642,14.81,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2002,12,68689,38.19,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2003,1,158516,88.14,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2003,2,179848,100.0,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2003,3,179848,100.0,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2003,4,179848,100.0,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2003,5,161817,89.97,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2003,6,106905,59.44,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2003,7,30528,16.97,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2003,8,1203,0.67,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2003,9,2046,1.14,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2003,10,5160,2.87,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2003,11,29402,16.35,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2003,12,75707,42.09,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2004,1,136056,75.65,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2004,2,177063,98.45,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2004,3,179848,100.0,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2004,4,179807,99.98,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2004,5,179523,99.82,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2004,6,101693,56.54,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2004,7,31269,17.39,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2004,8,3938,2.19,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2004,9,4118,2.29,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2004,10,10989,6.11,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2004,11,8600,4.78,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2004,12,53503,29.75,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2005,1,157605,87.63,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2005,2,179848,100.0,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2005,3,179848,100.0,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2005,4,160295,89.13,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2005,5,113945,63.36,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2005,6,48051,26.72,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2005,7,14082,7.83,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2005,8,4089,2.27,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2005,9,884,0.49,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2005,10,8145,4.53,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2005,11,10730,5.97,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2005,12,23257,12.93,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2006,1,155202,86.3,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2006,2,179553,99.84,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2006,3,179848,100.0,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2006,4,179755,99.95,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2006,5,166869,92.78,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2006,6,87967,48.91,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2006,7,35999,20.02,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2006,8,1633,0.91,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2006,9,0,0.0,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2006,10,4229,2.35,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2006,11,2773,1.54,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
Iberian-Canary,0,2006,12,62952,35.0,Equatorward,Iberian-Canary,North,Iberian-Canary-Equatorward
